"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.075,0.102,0.462,9.1
"Sleep Problems","1",-0.152,0.089,0.089,9.1
"Unhealthy Diet","1",-0.175,0.101,0.082,9.1
"Smoking","1",0.871,0.029,0,9.1
"Alcohol","1",0.404,0.119,0.001,9.1
"Physical Inactivity","2",-0.046,0.037,0.216,66.2
"Sleep Problems","2",-0.196,0.036,0,66.2
"Unhealthy Diet","2",-0.195,0.035,0,66.2
"Smoking","2",-0.619,0,0,66.2
"Alcohol","2",-0.187,0.034,0,66.2
"Physical Inactivity","3",0.133,0.059,0.024,24.7
"Sleep Problems","3",0.168,0.065,0.01,24.7
"Unhealthy Diet","3",0.233,0.056,0,24.7
"Smoking","3",1.81,0,0,24.7
"Alcohol","3",0.806,0.068,0,24.7
