"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.012,0.007,0.105,91
"Sleep Problems","1",-0.027,0.007,0,91
"Unhealthy Diet","1",-0.03,0.007,0,91
"Smoking","1",-0.285,0,0,91
"Alcohol","1",-0.113,0.006,0,91
"Physical Inactivity","2",0.272,0.042,0,4.1
"Sleep Problems","2",0.31,0.034,0,4.1
"Unhealthy Diet","2",0.403,0.032,0,4.1
"Smoking","2",4.253,0.004,0,4.1
"Alcohol","2",1.354,0.044,0,4.1
"Physical Inactivity","3",-0.016,0.041,0.693,2.8
"Sleep Problems","3",0.268,0.04,0,2.8
"Unhealthy Diet","3",0.173,0.039,0,2.8
"Smoking","3",1.108,0.011,0,2.8
"Alcohol","3",0.909,0.045,0,2.8
"Physical Inactivity","4",0.11,0.053,0.038,2
"Sleep Problems","4",0.207,0.048,0,2
"Unhealthy Diet","4",0.295,0.046,0,2
"Smoking","4",2.708,0.008,0,2
"Alcohol","4",1.047,0.057,0,2
