"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.177,0.018,0,94.4
"Sleep Problems","1",0.061,0.021,0.003,94.4
"Unhealthy Diet","1",-0.272,0.018,0,94.4
"Smoking","1",-0.283,0,0,94.4
"Alcohol","1",-0.511,0.011,0,94.4
"Physical Inactivity","2",0.064,0.157,0.684,3.6
"Sleep Problems","2",0.499,0.205,0.015,3.6
"Unhealthy Diet","2",0.033,0.134,0.807,3.6
"Smoking","2",0.777,0.052,0,3.6
"Alcohol","2",0.369,0.1,0,3.6
"Physical Inactivity","3",0.563,0.204,0.006,2
"Sleep Problems","3",0.953,0.252,0,2
"Unhealthy Diet","3",0.881,0.295,0.003,2
"Smoking","3",3.023,0.159,0,2
"Alcohol","3",1.316,0.332,0,2
