"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.017,0.044,0.709,14
"Sleep Problems","1",1.678,0.025,0,14
"Unhealthy Diet","1",0.146,0.042,0,14
"Smoking","1",-0.345,0,0,14
"Alcohol","1",0.293,0.043,0,14
"Physical Inactivity","2",-0.099,0.018,0,70.3
"Sleep Problems","2",-0.506,0.008,0,70.3
"Unhealthy Diet","2",0.061,0.017,0,70.3
"Smoking","2",-0.345,0,0,70.3
"Alcohol","2",0.051,0.016,0.001,70.3
"Physical Inactivity","3",0.125,0.056,0.025,7.7
"Sleep Problems","3",0.18,0.059,0.002,7.7
"Unhealthy Diet","3",0.628,0.052,0,7.7
"Smoking","3",3.66,0,0,7.7
"Alcohol","3",1.694,0.061,0,7.7
"Physical Inactivity","4",0.059,0.054,0.276,8
"Sleep Problems","4",0.182,0.056,0.001,8
"Unhealthy Diet","4",0.365,0.046,0,8
"Smoking","4",1.609,0.035,0,8
"Alcohol","4",1.296,0.057,0,8
