"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.018,0.009,0.052,91.7
"Sleep Problems","1",0.007,0.01,0.465,91.7
"Unhealthy Diet","1",-0.273,0.01,0,91.7
"Smoking","1",-0.343,0,0,91.7
"Alcohol","1",-0.595,0.005,0,91.7
"Physical Inactivity","2",0.402,0.08,0,1.3
"Sleep Problems","2",0.517,0.092,0,1.3
"Unhealthy Diet","2",0.215,0.096,0.025,1.3
"Smoking","2",1.944,0.027,0,1.3
"Alcohol","2",0.36,0.075,0,1.3
"Physical Inactivity","3",0.152,0.048,0.001,4
"Sleep Problems","3",0.297,0.053,0,4
"Unhealthy Diet","3",0.055,0.052,0.291,4
"Smoking","3",0.488,0.014,0,4
"Alcohol","3",0.102,0.039,0.01,4
"Physical Inactivity","4",0.281,0.059,0,3.1
"Sleep Problems","4",0.444,0.062,0,3.1
"Unhealthy Diet","4",0.465,0.063,0,3.1
"Smoking","4",3.472,0.015,0,3.1
"Alcohol","4",0.742,0.071,0,3.1
