"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.153,0.076,0.044,1.8
"Sleep Problems","1",0.485,0.079,0,1.8
"Unhealthy Diet","1",0.272,0.067,0,1.8
"Smoking","1",2.256,0.05,0,1.8
"Alcohol","1",0.73,0.083,0,1.8
"Physical Inactivity","2",-0.066,0.009,0,96.7
"Sleep Problems","2",-0.033,0.009,0,96.7
"Unhealthy Diet","2",-0.258,0.008,0,96.7
"Smoking","2",-0.239,0.001,0,96.7
"Alcohol","2",-0.436,0.005,0,96.7
"Physical Inactivity","3",0.19,0.092,0.039,1.5
"Sleep Problems","3",0.418,0.085,0,1.5
"Unhealthy Diet","3",0.513,0.087,0,1.5
"Smoking","3",4.867,0.03,0,1.5
"Alcohol","3",1.3,0.122,0,1.5
