"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.109,0.018,0,79.5
"Sleep Problems","1",-0.131,0.017,0,79.5
"Unhealthy Diet","1",-0.047,0.017,0.006,79.5
"Smoking","1",-0.332,0,0,79.5
"Alcohol","1",-0.244,0.013,0,79.5
"Physical Inactivity","2",0.105,0.061,0.083,7.4
"Sleep Problems","2",0.25,0.062,0,7.4
"Unhealthy Diet","2",0.287,0.054,0,7.4
"Smoking","2",1.526,0.037,0,7.4
"Alcohol","2",1.045,0.066,0,7.4
"Physical Inactivity","3",-0.008,0.067,0.903,6.5
"Sleep Problems","3",0.217,0.074,0.003,6.5
"Unhealthy Diet","3",0.359,0.069,0,6.5
"Smoking","3",-0.332,0,0,6.5
"Alcohol","3",2.352,0.066,0,6.5
"Physical Inactivity","4",0.014,0.072,0.842,6.6
"Sleep Problems","4",0.322,0.069,0,6.6
"Unhealthy Diet","4",0.541,0.065,0,6.6
"Smoking","4",3.632,0,0,6.6
"Alcohol","4",1.885,0.081,0,6.6
