"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.018,0.138,0.895,5.5
"Sleep Problems","1",0.464,0.131,0,5.5
"Unhealthy Diet","1",0.514,0.111,0,5.5
"Smoking","1",4.491,0,0,5.5
"Alcohol","1",1.588,0.112,0,5.5
"Physical Inactivity","2",0.193,0.094,0.041,9.2
"Sleep Problems","2",0.174,0.089,0.05,9.2
"Unhealthy Diet","2",0.57,0.089,0,9.2
"Smoking","2",2.072,0.07,0,9.2
"Alcohol","2",1.484,0.082,0,9.2
"Physical Inactivity","3",0.116,0.03,0,85.3
"Sleep Problems","3",-0.005,0.029,0.855,85.3
"Unhealthy Diet","3",0.195,0.031,0,85.3
"Smoking","3",-0.297,0,0,85.3
"Alcohol","3",0.156,0.03,0,85.3
