"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.019,0.017,0.28,67.9
"Sleep Problems","1",-0.506,0.009,0,67.9
"Unhealthy Diet","1",0.016,0.017,0.335,67.9
"Smoking","1",-0.38,0,0,67.9
"Alcohol","1",-0.162,0.015,0,67.9
"Physical Inactivity","2",0.199,0.045,0,10.1
"Sleep Problems","2",0.163,0.048,0.001,10.1
"Unhealthy Diet","2",0.386,0.046,0,10.1
"Smoking","2",1.325,0.027,0,10.1
"Alcohol","2",1.061,0.054,0,10.1
"Physical Inactivity","3",0.386,0.058,0,7.5
"Sleep Problems","3",0.24,0.059,0,7.5
"Unhealthy Diet","3",0.692,0.053,0,7.5
"Smoking","3",3.374,0,0,7.5
"Alcohol","3",1.737,0.056,0,7.5
"Physical Inactivity","4",0.035,0.04,0.376,14.6
"Sleep Problems","4",1.654,0.023,0,14.6
"Unhealthy Diet","4",0.098,0.041,0.016,14.6
"Smoking","4",-0.38,0,0,14.6
"Alcohol","4",-0.055,0.038,0.148,14.6
