"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.077,0.037,0.04,17
"Sleep Problems","1",1.73,0.03,0,17
"Unhealthy Diet","1",0.122,0.037,0.001,17
"Smoking","1",-0.275,0,0,17
"Alcohol","1",0.094,0.038,0.014,17
"Physical Inactivity","2",0.069,0.106,0.512,2.2
"Sleep Problems","2",0.294,0.107,0.006,2.2
"Unhealthy Diet","2",0.205,0.09,0.022,2.2
"Smoking","2",1.383,0,0,2.2
"Alcohol","2",0.977,0.109,0,2.2
"Physical Inactivity","3",-0.031,0.076,0.68,4.2
"Sleep Problems","3",0.319,0.079,0,4.2
"Unhealthy Diet","3",0.557,0.078,0,4.2
"Smoking","3",3.904,0.058,0,4.2
"Alcohol","3",1.516,0.098,0,4.2
"Physical Inactivity","4",-0.153,0.017,0,76.7
"Sleep Problems","4",-0.463,0.008,0,76.7
"Unhealthy Diet","4",-0.117,0.016,0,76.7
"Smoking","4",-0.275,0,0,76.7
"Alcohol","4",-0.173,0.015,0,76.7
