"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.009,0.017,0.597,89.1
"Sleep Problems","1",-0.074,0.016,0,89.1
"Unhealthy Diet","1",0.341,0.015,0,89.1
"Smoking","1",-0.285,0,0,89.1
"Alcohol","1",0.34,0.016,0,89.1
"Physical Inactivity","2",0.168,0.071,0.018,5.1
"Sleep Problems","2",0.128,0.068,0.059,5.1
"Unhealthy Diet","2",0.558,0.067,0,5.1
"Smoking","2",1.942,0.049,0,5.1
"Alcohol","2",1.451,0.063,0,5.1
"Physical Inactivity","3",0.401,0.065,0,5.9
"Sleep Problems","3",0.297,0.066,0,5.9
"Unhealthy Diet","3",0.703,0.062,0,5.9
"Smoking","3",4.115,0,0,5.9
"Alcohol","3",1.542,0.062,0,5.9
