"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.179,0.047,0,7
"Sleep Problems","1",0.286,0.049,0,7
"Unhealthy Diet","1",0.29,0.043,0,7
"Smoking","1",1.409,0.029,0,7
"Alcohol","1",0.905,0.047,0,7
"Physical Inactivity","2",-0.108,0.015,0,68.2
"Sleep Problems","2",-0.465,0.014,0,68.2
"Unhealthy Diet","2",-0.161,0.015,0,68.2
"Smoking","2",-0.352,0,0,68.2
"Alcohol","2",-0.192,0.016,0,68.2
"Physical Inactivity","3",0.053,0.034,0.124,19.1
"Sleep Problems","3",1.334,0.027,0,19.1
"Unhealthy Diet","3",-0.004,0.034,0.908,19.1
"Smoking","3",-0.352,0,0,19.1
"Alcohol","3",-0.119,0.035,0.001,19.1
"Physical Inactivity","4",0.333,0.055,0,5.7
"Sleep Problems","4",0.326,0.057,0,5.7
"Unhealthy Diet","4",0.593,0.05,0,5.7
"Smoking","4",3.531,0,0,5.7
"Alcohol","4",1.506,0.053,0,5.7
