"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.002,0.046,0.958,4.4
"Sleep Problems","1",0.109,0.066,0.098,4.4
"Unhealthy Diet","1",0.152,0.047,0.001,4.4
"Smoking","1",-0.297,0,0,4.4
"Alcohol","1",2.475,0.054,0,4.4
"Physical Inactivity","2",0.004,0.041,0.931,4.6
"Sleep Problems","2",0.254,0.041,0,4.6
"Unhealthy Diet","2",0.333,0.037,0,4.6
"Smoking","2",1.352,0,0,4.6
"Alcohol","2",1.131,0.046,0,4.6
"Physical Inactivity","3",0.106,0.018,0,23.1
"Sleep Problems","3",1.406,0.009,0,23.1
"Unhealthy Diet","3",0.078,0.019,0,23.1
"Smoking","3",-0.297,0,0,23.1
"Alcohol","3",-0.226,0.012,0,23.1
"Physical Inactivity","4",-0.048,0.01,0,62.7
"Sleep Problems","4",-0.572,0.005,0,62.7
"Unhealthy Diet","4",-0.095,0.01,0,62.7
"Smoking","4",-0.297,0,0,62.7
"Alcohol","4",-0.321,0.008,0,62.7
"Physical Inactivity","5",0.107,0.04,0.008,5.2
"Sleep Problems","5",0.332,0.04,0,5.2
"Unhealthy Diet","5",0.376,0.037,0,5.2
"Smoking","5",3.906,0.029,0,5.2
"Alcohol","5",1.756,0.051,0,5.2
