"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.099,0.035,0.004,4
"Sleep Problems","1",0.154,0.035,0,4
"Unhealthy Diet","1",0.315,0.036,0,4
"Smoking","1",1.323,0.004,0,4
"Alcohol","1",1.295,0.033,0,4
"Physical Inactivity","2",-0.019,0.007,0.008,90.7
"Sleep Problems","2",-0.023,0.007,0.001,90.7
"Unhealthy Diet","2",-0.049,0.007,0,90.7
"Smoking","2",-0.286,0,0,90.7
"Alcohol","2",-0.148,0.006,0,90.7
"Physical Inactivity","3",0.258,0.032,0,5.2
"Sleep Problems","3",0.285,0.033,0,5.2
"Unhealthy Diet","3",0.616,0.034,0,5.2
"Smoking","3",3.983,0.022,0,5.2
"Alcohol","3",1.579,0.031,0,5.2
