"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.165,0.106,0.12,2.5
"Sleep Problems","1",0.103,0.106,0.331,2.5
"Unhealthy Diet","1",0.27,0.103,0.009,2.5
"Smoking","1",5.913,0.148,0,2.5
"Alcohol","1",1.946,0.229,0,2.5
"Physical Inactivity","2",-0.004,0.016,0.797,97.5
"Sleep Problems","2",-0.003,0.016,0.873,97.5
"Unhealthy Diet","2",-0.007,0.016,0.665,97.5
"Smoking","2",-0.145,0.005,0,97.5
"Alcohol","2",-0.048,0.014,0.001,97.5
