"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.084,0.102,0.408,1.9
"Sleep Problems","1",0.326,0.102,0.001,1.9
"Unhealthy Diet","1",0.25,0.101,0.013,1.9
"Smoking","1",2.173,0,0,1.9
"Alcohol","1",0.665,0.096,0,1.9
"Physical Inactivity","2",-0.028,0.014,0.044,90.3
"Sleep Problems","2",-0.056,0.013,0,90.3
"Unhealthy Diet","2",-0.132,0.014,0,90.3
"Smoking","2",-0.368,0,0,90.3
"Alcohol","2",-0.312,0.011,0,90.3
"Physical Inactivity","3",0.021,0.074,0.779,3.8
"Sleep Problems","3",0.376,0.076,0,3.8
"Unhealthy Diet","3",0.471,0.072,0,3.8
"Smoking","3",3.443,0,0,3.8
"Alcohol","3",1.108,0.086,0,3.8
"Physical Inactivity","4",0.021,0.066,0.746,4
"Sleep Problems","4",0.249,0.07,0,4
"Unhealthy Diet","4",0.295,0.07,0,4
"Smoking","4",0.888,0.006,0,4
"Alcohol","4",0.569,0.065,0,4
