"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.046,0.052,0.376,8.5
"Sleep Problems","1",-0.034,0.045,0.445,8.5
"Unhealthy Diet","1",0.426,0.048,0,8.5
"Smoking","1",1.917,0.038,0,8.5
"Alcohol","1",1.212,0.063,0,8.5
"Physical Inactivity","2",0.076,0.018,0,74.3
"Sleep Problems","2",-0.177,0.016,0,74.3
"Unhealthy Diet","2",0.083,0.017,0,74.3
"Smoking","2",-0.302,0,0,74.3
"Alcohol","2",-0.247,0.013,0,74.3
"Physical Inactivity","3",-0.066,0.053,0.217,9.9
"Sleep Problems","3",-0.073,0.047,0.123,9.9
"Unhealthy Diet","3",0.452,0.05,0,9.9
"Smoking","3",-0.302,0,0,9.9
"Alcohol","3",2.264,0.045,0,9.9
"Physical Inactivity","4",0.274,0.062,0,7.3
"Sleep Problems","4",0.076,0.057,0.178,7.3
"Unhealthy Diet","4",0.644,0.06,0,7.3
"Smoking","4",4.302,0,0,7.3
"Alcohol","4",1.802,0.073,0,7.3
