"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.07,0.016,0,93
"Sleep Problems","1",-0.171,0.015,0,93
"Unhealthy Diet","1",-0.095,0.016,0,93
"Smoking","1",-0.25,0,0,93
"Alcohol","1",-0.062,0.014,0,93
"Physical Inactivity","2",0.197,0.081,0.016,4.2
"Sleep Problems","2",0.437,0.083,0,4.2
"Unhealthy Diet","2",0.358,0.085,0,4.2
"Smoking","2",2.379,0.074,0,4.2
"Alcohol","2",1.996,0.093,0,4.2
"Physical Inactivity","3",0.871,0.109,0,2.7
"Sleep Problems","3",0.453,0.117,0,2.7
"Unhealthy Diet","3",1.107,0.124,0,2.7
"Smoking","3",5.227,0,0,2.7
"Alcohol","3",2.401,0.145,0,2.7
