"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.113,0.037,0.002,3.5
"Sleep Problems","1",0.432,0.037,0,3.5
"Unhealthy Diet","1",0.313,0.036,0,3.5
"Smoking","1",4.361,0.003,0,3.5
"Alcohol","1",1.613,0.049,0,3.5
"Physical Inactivity","2",-0.007,0.006,0.236,90.9
"Sleep Problems","2",-0.038,0.006,0,90.9
"Unhealthy Diet","2",-0.029,0.007,0,90.9
"Smoking","2",-0.292,0,0,90.9
"Alcohol","2",-0.126,0.006,0,90.9
"Physical Inactivity","3",0.054,0.033,0.103,3.5
"Sleep Problems","3",0.35,0.035,0,3.5
"Unhealthy Diet","3",0.204,0.035,0,3.5
"Smoking","3",1.169,0.008,0,3.5
"Alcohol","3",0.893,0.044,0,3.5
"Physical Inactivity","4",0.046,0.044,0.3,2.1
"Sleep Problems","4",0.376,0.046,0,2.1
"Unhealthy Diet","4",0.349,0.041,0,2.1
"Smoking","4",2.779,0.007,0,2.1
"Alcohol","4",1.355,0.06,0,2.1
