"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.091,0.049,0.062,7
"Sleep Problems","1",0.075,0.054,0.16,7
"Unhealthy Diet","1",0.305,0.05,0,7
"Smoking","1",1.471,0.031,0,7
"Alcohol","1",1.122,0.049,0,7
"Physical Inactivity","2",-0.074,0.015,0,75
"Sleep Problems","2",-0.438,0.007,0,75
"Unhealthy Diet","2",-0.113,0.014,0,75
"Smoking","2",-0.351,0,0,75
"Alcohol","2",-0.02,0.014,0.154,75
"Physical Inactivity","3",0.018,0.039,0.636,12
"Sleep Problems","3",1.832,0.031,0,12
"Unhealthy Diet","3",0.006,0.04,0.878,12
"Smoking","3",-0.351,0,0,12
"Alcohol","3",0.159,0.038,0,12
"Physical Inactivity","4",0.254,0.057,0,6.1
"Sleep Problems","4",-0.004,0.056,0.944,6.1
"Unhealthy Diet","4",0.495,0.049,0,6.1
"Smoking","4",3.453,0,0,6.1
"Alcohol","4",1.463,0.055,0,6.1
