"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.038,0.018,0.037,73.9
"Sleep Problems","1",-0.445,0.008,0,73.9
"Unhealthy Diet","1",-0.027,0.018,0.129,73.9
"Smoking","1",-0.275,0,0,73.9
"Alcohol","1",-0.009,0.016,0.578,73.9
"Physical Inactivity","2",0.126,0.04,0.002,16.6
"Sleep Problems","2",1.798,0.027,0,16.6
"Unhealthy Diet","2",0.057,0.039,0.152,16.6
"Smoking","2",-0.275,0,0,16.6
"Alcohol","2",0.16,0.038,0,16.6
"Physical Inactivity","3",0.155,0.068,0.023,5.2
"Sleep Problems","3",0.404,0.081,0,5.2
"Unhealthy Diet","3",0.467,0.074,0,5.2
"Smoking","3",3.997,0.057,0,5.2
"Alcohol","3",1.599,0.087,0,5.2
"Physical Inactivity","4",0.151,0.074,0.042,4.2
"Sleep Problems","4",0.171,0.083,0.039,4.2
"Unhealthy Diet","4",0.439,0.077,0,4.2
"Smoking","4",1.383,0,0,4.2
"Alcohol","4",1.077,0.084,0,4.2
