"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.015,0.008,0.043,87.6
"Sleep Problems","1",-0.039,0.007,0,87.6
"Unhealthy Diet","1",-0.052,0.008,0,87.6
"Smoking","1",-0.337,0,0,87.6
"Alcohol","1",-0.154,0.007,0,87.6
"Physical Inactivity","2",0.145,0.035,0,5.2
"Sleep Problems","2",0.384,0.038,0,5.2
"Unhealthy Diet","2",0.511,0.031,0,5.2
"Smoking","2",3.713,0.004,0,5.2
"Alcohol","2",1.393,0.038,0,5.2
"Physical Inactivity","3",0.046,0.035,0.187,4.4
"Sleep Problems","3",0.217,0.038,0,4.4
"Unhealthy Diet","3",0.227,0.033,0,4.4
"Smoking","3",0.906,0.009,0,4.4
"Alcohol","3",0.762,0.037,0,4.4
"Physical Inactivity","4",0.14,0.044,0.001,2.8
"Sleep Problems","4",0.146,0.046,0.001,2.8
"Unhealthy Diet","4",0.325,0.041,0,2.8
"Smoking","4",2.331,0.008,0,2.8
"Alcohol","4",1.03,0.047,0,2.8
