"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.015,0.016,0.364,82.6
"Sleep Problems","1",-0.025,0.016,0.128,82.6
"Unhealthy Diet","1",-0.275,0.015,0,82.6
"Smoking","1",-0.403,0,0,82.6
"Alcohol","1",-0.534,0.011,0,82.6
"Physical Inactivity","2",0.159,0.058,0.006,6.7
"Sleep Problems","2",0.392,0.064,0,6.7
"Unhealthy Diet","2",-0.039,0.053,0.457,6.7
"Smoking","2",2.803,0.014,0,6.7
"Alcohol","2",0.122,0.062,0.049,6.7
"Physical Inactivity","3",0.043,0.053,0.419,7.5
"Sleep Problems","3",0.34,0.06,0,7.5
"Unhealthy Diet","3",-0.041,0.051,0.42,7.5
"Smoking","3",0.361,0.015,0,7.5
"Alcohol","3",-0.166,0.046,0,7.5
"Physical Inactivity","4",0.015,0.083,0.854,3.1
"Sleep Problems","4",0.313,0.094,0.001,3.1
"Unhealthy Diet","4",-0.045,0.072,0.531,3.1
"Smoking","4",1.563,0.023,0,3.1
"Alcohol","4",-0.05,0.08,0.532,3.1
