"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.035,0.167,0.833,1.2
"Sleep Problems","1",0.61,0.185,0.001,1.2
"Unhealthy Diet","1",0.219,0.154,0.156,1.2
"Smoking","1",3.962,0.05,0,1.2
"Alcohol","1",1.175,0.276,0,1.2
"Physical Inactivity","2",-0.029,0.016,0.072,97.4
"Sleep Problems","2",0.148,0.017,0,97.4
"Unhealthy Diet","2",-0.408,0.015,0,97.4
"Smoking","2",-0.278,0.001,0,97.4
"Alcohol","2",-0.471,0.007,0,97.4
"Physical Inactivity","3",0.782,0.145,0,1.4
"Sleep Problems","3",0.459,0.147,0.002,1.4
"Unhealthy Diet","3",0.06,0.13,0.647,1.4
"Smoking","3",1.909,0.08,0,1.4
"Alcohol","3",1.266,0.237,0,1.4
