"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.263,0.071,0,4.3
"Sleep Problems","1",0.252,0.077,0.001,4.3
"Unhealthy Diet","1",-0.059,0.062,0.341,4.3
"Smoking","1",1.801,0.05,0,4.3
"Alcohol","1",1.039,0.067,0,4.3
"Physical Inactivity","2",0.002,0.015,0.92,84.6
"Sleep Problems","2",0.07,0.017,0,84.6
"Unhealthy Diet","2",-0.365,0.015,0,84.6
"Smoking","2",-0.293,0,0,84.6
"Alcohol","2",-0.355,0.033,0,84.6
"Physical Inactivity","3",0.104,0.06,0.082,7.8
"Sleep Problems","3",0.284,0.067,0,7.8
"Unhealthy Diet","3",-0.142,0.061,0.02,7.8
"Smoking","3",-0.293,0,0,7.8
"Alcohol","3",2.311,0.232,0,7.8
"Physical Inactivity","4",0.369,0.088,0,3.4
"Sleep Problems","4",0.419,0.091,0,3.4
"Unhealthy Diet","4",0.306,0.089,0.001,3.4
"Smoking","4",4.137,0,0,3.4
"Alcohol","4",1.342,0.085,0,3.4
