term,estimate,std_estimate,std.error,statistic,p.value
(Intercept),-0.46190757615704586,NA,0.052466383788303914,-8.80387674555182,1.8613153218846997e-18
profile2,-0.3381088540572907,-0.09316007010202176,0.1607091223073656,-2.1038560176480696,0.03544700522207032
profile3,0.17124630881732453,0.03392840635272471,0.22569524995062668,0.7587501680021469,0.4480422230073121
profile4,-0.1411648588201711,-0.03434786088480878,0.19287673152672966,-0.7318915957501483,0.4642732948120507
age,0.048966384451739085,0.04888102415040722,0.015623870114522077,3.134075238261601,0.001735187447140423
sex,0.2601175316871277,0.13014896107407,0.03236424800256693,8.037187567790754,1.1679267342629572e-15
fas,-0.024396068976805994,-0.02411657370589091,0.014774497401000031,-1.6512283507630328,0.09876254848256916
profile2:sex,0.40951422164546875,0.16047677238265012,0.11183380520371074,3.6618106743262344,2.5334969882358894e-4
profile3:sex,0.1720265460053137,0.051646000616107336,0.1486873464202187,1.1569682972156488,0.2473474420316446
profile4:sex,0.43231045398549267,0.16846096753055367,0.12008820853359622,3.5999409039776644,3.217591646937423e-4
