"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.066,0.072,0.359,4.2
"Sleep Problems","1",0.331,0.08,0,4.2
"Unhealthy Diet","1",0.382,0.068,0,4.2
"Smoking","1",1.557,0.046,0,4.2
"Alcohol","1",1.012,0.08,0,4.2
"Physical Inactivity","2",0.153,0.033,0,20.6
"Sleep Problems","2",1.55,0.023,0,20.6
"Unhealthy Diet","2",0.265,0.032,0,20.6
"Smoking","2",-0.34,0,0,20.6
"Alcohol","2",0.238,0.032,0,20.6
"Physical Inactivity","3",0.01,0.018,0.578,70.4
"Sleep Problems","3",-0.539,0.008,0,70.4
"Unhealthy Diet","3",0.154,0.017,0,70.4
"Smoking","3",-0.34,0,0,70.4
"Alcohol","3",0.085,0.015,0,70.4
"Physical Inactivity","4",0.169,0.071,0.017,4.8
"Sleep Problems","4",0.279,0.073,0,4.8
"Unhealthy Diet","4",0.609,0.055,0,4.8
"Smoking","4",3.567,0,0,4.8
"Alcohol","4",1.111,0.075,0,4.8
