"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.007,0.015,0.616,94.8
"Sleep Problems","1",0.112,0.015,0,94.8
"Unhealthy Diet","1",-0.291,0.015,0,94.8
"Smoking","1",-0.291,0,0,94.8
"Alcohol","1",-0.507,0.007,0,94.8
"Physical Inactivity","2",0.053,0.086,0.535,3.2
"Sleep Problems","2",0.428,0.091,0,3.2
"Unhealthy Diet","2",0.044,0.086,0.606,3.2
"Smoking","2",0.814,0.043,0,3.2
"Alcohol","2",0.646,0.085,0,3.2
"Physical Inactivity","3",0.156,0.114,0.171,2.1
"Sleep Problems","3",0.497,0.116,0,2.1
"Unhealthy Diet","3",0.278,0.104,0.008,2.1
"Smoking","3",3.681,0.061,0,2.1
"Alcohol","3",1.087,0.125,0,2.1
