"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.012,0.012,0.318,94.9
"Sleep Problems","1",0.107,0.012,0,94.9
"Unhealthy Diet","1",-0.123,0.011,0,94.9
"Smoking","1",-0.249,0,0,94.9
"Alcohol","1",-0.199,0.009,0,94.9
"Physical Inactivity","2",0.165,0.075,0.027,2.2
"Sleep Problems","2",0.672,0.078,0,2.2
"Unhealthy Diet","2",0.353,0.08,0,2.2
"Smoking","2",1.573,0.002,0,2.2
"Alcohol","2",1.192,0.085,0,2.2
"Physical Inactivity","3",0.428,0.073,0,2.9
"Sleep Problems","3",0.727,0.07,0,2.9
"Unhealthy Diet","3",0.84,0.082,0,2.9
"Smoking","3",4.511,0.06,0,2.9
"Alcohol","3",1.77,0.098,0,2.9
