"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.037,0.017,0.034,85.2
"Sleep Problems","1",-0.125,0.016,0,85.2
"Unhealthy Diet","1",0.353,0.016,0,85.2
"Smoking","1",-0.266,0,0,85.2
"Alcohol","1",0.463,0.02,0,85.2
"Physical Inactivity","2",0.296,0.059,0,8.4
"Sleep Problems","2",0.209,0.057,0,8.4
"Unhealthy Diet","2",0.862,0.053,0,8.4
"Smoking","2",4.551,0,0,8.4
"Alcohol","2",1.638,0.062,0,8.4
"Physical Inactivity","3",0.286,0.065,0,6.4
"Sleep Problems","3",0.073,0.061,0.229,6.4
"Unhealthy Diet","3",0.519,0.053,0,6.4
"Smoking","3",1.968,0.05,0,6.4
"Alcohol","3",1.469,0.072,0,6.4
