"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.131,0.054,0.017,5.3
"Sleep Problems","1",0.199,0.054,0,5.3
"Unhealthy Diet","1",0.561,0.051,0,5.3
"Smoking","1",3.835,0,0,5.3
"Alcohol","1",1.544,0.064,0,5.3
"Physical Inactivity","2",-0.138,0.012,0,88.5
"Sleep Problems","2",-0.099,0.012,0,88.5
"Unhealthy Diet","2",0.014,0.012,0.266,88.5
"Smoking","2",-0.331,0,0,88.5
"Alcohol","2",0.025,0.012,0.04,88.5
"Physical Inactivity","3",-0.075,0.047,0.107,6.2
"Sleep Problems","3",0.186,0.047,0,6.2
"Unhealthy Diet","3",0.324,0.046,0,6.2
"Smoking","3",1.597,0.032,0,6.2
"Alcohol","3",1.079,0.056,0,6.2
