"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.044,0.016,0.007,92.4
"Sleep Problems","1",0.062,0.017,0,92.4
"Unhealthy Diet","1",-0.23,0.016,0,92.4
"Smoking","1",-0.289,0,0,92.4
"Alcohol","1",-0.261,0.013,0,92.4
"Physical Inactivity","2",0.269,0.085,0.002,3.5
"Sleep Problems","2",0.254,0.085,0.003,3.5
"Unhealthy Diet","2",-0.045,0.086,0.599,3.5
"Smoking","2",1.309,0,0,3.5
"Alcohol","2",1.215,0.073,0,3.5
"Physical Inactivity","3",0.277,0.08,0.001,4.1
"Sleep Problems","3",0.476,0.088,0,4.1
"Unhealthy Diet","3",0.208,0.087,0.017,4.1
"Smoking","3",3.917,0.061,0,4.1
"Alcohol","3",0.97,0.099,0,4.1
