"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.316,0.044,0,8.6
"Sleep Problems","1",0.06,0.045,0.18,8.6
"Unhealthy Diet","1",0.382,0.042,0,8.6
"Smoking","1",1.634,0.03,0,8.6
"Alcohol","1",1.064,0.047,0,8.6
"Physical Inactivity","2",0.268,0.033,0,17.2
"Sleep Problems","2",1.538,0.018,0,17.2
"Unhealthy Diet","2",0.128,0.034,0,17.2
"Smoking","2",-0.312,0,0,17.2
"Alcohol","2",0.131,0.033,0,17.2
"Physical Inactivity","3",0.266,0.016,0,66.9
"Sleep Problems","3",-0.546,0.007,0,66.9
"Unhealthy Diet","3",0.093,0.015,0,66.9
"Smoking","3",-0.312,0,0,66.9
"Alcohol","3",0.002,0.015,0.916,66.9
"Physical Inactivity","4",0.443,0.052,0,7.4
"Sleep Problems","4",0.145,0.05,0.004,7.4
"Unhealthy Diet","4",0.552,0.049,0,7.4
"Smoking","4",4.029,0,0,7.4
"Alcohol","4",1.521,0.052,0,7.4
