"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.146,0.073,0.044,3.2
"Sleep Problems","1",0.442,0.086,0,3.2
"Unhealthy Diet","1",0.262,0.073,0,3.2
"Smoking","1",0.487,0.021,0,3.2
"Alcohol","1",-0.136,0.052,0.008,3.2
"Physical Inactivity","2",-0.075,0.013,0,92.9
"Sleep Problems","2",0.157,0.014,0,92.9
"Unhealthy Diet","2",-0.262,0.013,0,92.9
"Smoking","2",-0.351,0,0,92.9
"Alcohol","2",-0.663,0.005,0,92.9
"Physical Inactivity","3",-0.013,0.087,0.884,2.6
"Sleep Problems","3",0.69,0.104,0,2.6
"Unhealthy Diet","3",0.336,0.082,0,2.6
"Smoking","3",3.291,0.022,0,2.6
"Alcohol","3",0.524,0.09,0,2.6
"Physical Inactivity","4",0.167,0.105,0.11,1.3
"Sleep Problems","4",0.743,0.141,0,1.3
"Unhealthy Diet","4",0.198,0.106,0.061,1.3
"Smoking","4",1.801,0.034,0,1.3
"Alcohol","4",0.078,0.094,0.408,1.3
