"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.218,0.038,0,3.2
"Sleep Problems","1",0.267,0.042,0,3.2
"Unhealthy Diet","1",0.332,0.037,0,3.2
"Smoking","1",2.269,0.007,0,3.2
"Alcohol","1",1.313,0.043,0,3.2
"Physical Inactivity","2",0.237,0.032,0,5.2
"Sleep Problems","2",0.247,0.033,0,5.2
"Unhealthy Diet","2",0.572,0.029,0,5.2
"Smoking","2",3.636,0.004,0,5.2
"Alcohol","2",1.592,0.035,0,5.2
"Physical Inactivity","3",0.07,0.033,0.034,4.3
"Sleep Problems","3",0.273,0.036,0,4.3
"Unhealthy Diet","3",0.219,0.033,0,4.3
"Smoking","3",0.875,0.008,0,4.3
"Alcohol","3",0.803,0.035,0,4.3
"Physical Inactivity","4",-0.026,0.007,0,87.2
"Sleep Problems","4",-0.038,0.007,0,87.2
"Unhealthy Diet","4",-0.057,0.007,0,87.2
"Smoking","4",-0.345,0,0,87.2
"Alcohol","4",-0.184,0.006,0,87.2
