"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.118,0.047,0.012,2.1
"Sleep Problems","1",0.225,0.052,0,2.1
"Unhealthy Diet","1",0.451,0.048,0,2.1
"Smoking","1",3.008,0.008,0,2.1
"Alcohol","1",1.315,0.061,0,2.1
"Physical Inactivity","2",0.074,0.037,0.047,3.4
"Sleep Problems","2",0.126,0.04,0.001,3.4
"Unhealthy Diet","2",0.342,0.036,0,3.4
"Smoking","2",1.258,0.011,0,3.4
"Alcohol","2",0.938,0.043,0,3.4
"Physical Inactivity","3",-0.013,0.007,0.07,91.4
"Sleep Problems","3",-0.023,0.007,0.001,91.4
"Unhealthy Diet","3",-0.044,0.007,0,91.4
"Smoking","3",-0.275,0,0,91.4
"Alcohol","3",-0.131,0.006,0,91.4
"Physical Inactivity","4",0.216,0.042,0,3.2
"Sleep Problems","4",0.391,0.046,0,3.2
"Unhealthy Diet","4",0.611,0.044,0,3.2
"Smoking","4",4.672,0.006,0,3.2
"Alcohol","4",1.9,0.057,0,3.2
