Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,07.10.2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2169949833,2342740155,2480548423,2661819292,2880192320,2953554956,2988577872,3199179219,3262906371,3303302517,3555110647,3703785432,3668786383,3709528424,3980091340,3964842111,4009542195,4133418781,4209298230,3717747269,3616124254,3737960057,3699055373,3936959476,3874496656,3850334291,3916545601,4192604626,4293104973,4197263893,3097084627,3844492519,4171963244,4349844051,
Africa Eastern and Southern,AFE,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05548E+12,1.05513E+12,1.03134E+12,1.02271E+12,1.03974E+12,1.08651E+12,1.1468E+12,1.19321E+12,1.2159E+12,1.24913E+12,1.28974E+12,1.33694E+12,1.38941E+12,1.43312E+12,1.51593E+12,1.61287E+12,1.72205E+12,1.84043E+12,1.92595E+12,1.9444E+12,2.0484E+12,2.13703E+12,2.19949E+12,2.2952E+12,2.39462E+12,2.47412E+12,2.53972E+12,2.61494E+12,2.68936E+12,2.75359E+12,2.6813E+12,2.805E+12,2.90844E+12,2.9631E+12,3.0533E+12
Afghanistan,AFG,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32567375970,29495629513,37931379899,41281584746,41865355064,46566715049,49061481754,55844878996,58036781460,70451155677,80569661677,80913174278,91231454558,96341095376,98965950295,1.00402E+11,1.02672E+11,1.05389E+11,1.06643E+11,1.10814E+11,1.08209E+11,85767546198,80415503801,82238478028,
Africa Western and Central,AFW,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.96693E+11,7.0514E+11,7.19713E+11,7.11135E+11,7.1083E+11,7.26428E+11,7.60533E+11,7.94831E+11,8.24678E+11,8.38889E+11,8.69565E+11,9.14384E+11,9.97772E+11,1.05166E+12,1.13414E+12,1.20027E+12,1.26389E+12,1.33023E+12,1.41265E+12,1.49452E+12,1.59677E+12,1.67576E+12,1.7648E+12,1.86817E+12,1.97268E+12,2.03139E+12,2.04206E+12,2.09486E+12,2.15962E+12,2.23449E+12,2.21627E+12,2.30655E+12,2.39996E+12,2.48218E+12,2.58882E+12
Angola,AGO,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85939173895,86791139889,81724029491,62123814348,62955878002,72399259721,82205283158,88185123455,92322016744,94336012047,97217622733,1.01307E+11,1.15151E+11,1.18594E+11,1.3158E+11,1.51356E+11,1.68838E+11,1.92492E+11,2.13994E+11,2.15834E+11,2.25327E+11,2.33151E+11,2.53067E+11,2.65605E+11,2.78414E+11,2.81041E+11,2.7379E+11,2.73387E+11,2.69788E+11,2.67894E+11,2.52789E+11,2.55821E+11,2.6361E+11,2.66452E+11,2.78239E+11
Albania,ALB,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18275992950,13158323515,12212620211,13380074852,14491004618,16421544555,17626283082,15561968022,16855171487,18920052733,20332029538,22134205874,23158664546,24393777325,25678417487,26995931363,28620811407,30481190655,32586545485,33463368454,34458286075,35307171755,35654640182,36263346296,37075727554,37901665047,39383216692,40676236984,42169632192,43039413707,41613192394,45345719391,47534419469,49405667455,51362981226
Andorra,AND,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2631759312,2698763997,2723841291,2695745293,2759989816,2836096580,2967967659,3237093233,3340511674,3477441884,3600138635,3892446769,4069411498,4423214424,4783072833,5041253346,5283671526,5365736886,5067445572,4798726710,4703953873,4703574275,4469597620,4311034331,4419002699,4482377402,4648659174,4664746876,4738858765,4834372721,4293699379,4649508749,5094216232,5225828101,5402033635
Arab World,ARB,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52192E+12,2.48287E+12,2.64094E+12,2.72644E+12,2.81021E+12,2.8897E+12,3.0356E+12,3.19704E+12,3.37178E+12,3.47698E+12,3.69104E+12,3.77527E+12,3.82093E+12,3.95038E+12,4.3047E+12,4.53448E+12,4.80574E+12,5.03019E+12,5.31872E+12,5.38614E+12,5.64575E+12,5.89588E+12,6.11658E+12,6.25341E+12,6.42327E+12,6.67202E+12,6.92517E+12,7.05113E+12,7.25531E+12,7.41845E+12,7.13143E+12,7.43483E+12,7.95519E+12,8.07634E+12,8.21164E+12
United Arab Emirates,ARE,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05116E+11,2.0688E+11,2.138E+11,2.16497E+11,2.31427E+11,2.46904E+11,2.61221E+11,2.82616E+11,2.83441E+11,2.91667E+11,3.23321E+11,3.27844E+11,3.35822E+11,3.65376E+11,4.0033E+11,4.19766E+11,4.6106E+11,4.75742E+11,4.90927E+11,4.65188E+11,4.72644E+11,5.02025E+11,5.11184E+11,5.37027E+11,5.59398E+11,5.97363E+11,6.30585E+11,6.35221E+11,6.43567E+11,6.507E+11,6.18444E+11,6.45376E+11,6.93842E+11,7.1895E+11,7.45994E+11
Argentina,ARG,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.57089E+11,6.07968E+11,6.56225E+11,7.10081E+11,7.51523E+11,7.3014E+11,7.70493E+11,8.32988E+11,8.65059E+11,8.35773E+11,8.29179E+11,7.92622E+11,7.0627E+11,7.68683E+11,8.38092E+11,9.12277E+11,9.85689E+11,1.07448E+12,1.11807E+12,1.0519E+12,1.15841E+12,1.22796E+12,1.21535E+12,1.24459E+12,1.21331E+12,1.24645E+12,1.22052E+12,1.25492E+12,1.22208E+12,1.19762E+12,1.07905E+12,1.19173E+12,1.25453E+12,1.23432E+12,1.2131E+12
