y.level,term,estimate,std.error,statistic,p.value,odds_ratio,conf.low,conf.high
1,(Intercept),-3.376156737085766,0.09967159042762172,-33.87280891777704,1.6753008035889291e-251,0.034178559829002676,0.0281132845569652,0.04155238245526509
1,age,0.7303531188612754,0.03469006348709256,21.05366913303645,2.116444346754953e-98,2.0758134871645293,1.9393649893717264,2.2218621337957125
1,sex,0.10793842255402605,0.060909344526024534,1.7721159765215921,0.07637530740447358,1.1139791472836833,0.9886213395491343,1.2552324038937126
1,fas,0.0525290786009249,0.03136058794589079,1.6750029907461552,0.09393364486866118,1.0539332085361297,0.9911021485053936,1.1207474524501206
2,(Intercept),-4.165441291898974,0.13405522125649286,-31.072577799331512,5.653891492514598e-212,0.015522863274621313,0.011936080090339711,0.020187472136485068
2,age,0.9587292131843854,0.04972386710039661,19.28106700246446,7.746206980962923e-83,2.6083796718984864,2.3661648404935995,2.875389066872436
2,sex,0.16594707345157006,0.07985355707074814,2.078142534145916,0.03769623307848908,1.1805106197173256,1.009478743002766,1.3805197315200581
2,fas,0.025831645247736137,0.04086425060193617,0.6321330959758802,0.5272999105419911,1.0261681736414636,0.9471836409746127,1.111739133829573
4,(Intercept),-3.6163578506618586,0.09472664071717127,-38.17677712713732,6.83994e-319,0.026880400855432966,0.022325582372010516,0.03236448385125337
4,age,1.5125994348178027,0.041956326100814255,36.05176085206487,1.2942367855220879e-284,4.538513042910982,4.180224844583447,4.927510219303927
4,sex,0.06534540504573035,0.05363005201083721,1.2184475419215661,0.22305394794888964,1.0675276901616562,0.9610109296269488,1.1858505810170796
4,fas,-0.3432138269898913,0.02596511155324764,-13.218268917737928,6.882983508622057e-40,0.7094864879793953,0.6742829522981364,0.7465279596788166
