"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.001,0.066,0.984,7.1
"Sleep Problems","1",0.336,0.068,0,7.1
"Unhealthy Diet","1",0.448,0.062,0,7.1
"Smoking","1",3.567,0,0,7.1
"Alcohol","1",1.035,0.081,0,7.1
"Physical Inactivity","2",-0.009,0.092,0.919,3.3
"Sleep Problems","2",0.352,0.103,0.001,3.3
"Unhealthy Diet","2",0.128,0.089,0.151,3.3
"Smoking","2",0.953,0.007,0,3.3
"Alcohol","2",0.619,0.096,0,3.3
"Physical Inactivity","3",-0.15,0.107,0.163,2.7
"Sleep Problems","3",0.207,0.107,0.052,2.7
"Unhealthy Diet","3",0.373,0.098,0,2.7
"Smoking","3",2.259,0.006,0,2.7
"Alcohol","3",0.896,0.117,0,2.7
"Physical Inactivity","4",-0.13,0.018,0,86.9
"Sleep Problems","4",-0.045,0.017,0.008,86.9
"Unhealthy Diet","4",-0.147,0.017,0,86.9
"Smoking","4",-0.34,0,0,86.9
"Alcohol","4",-0.067,0.016,0,86.9
