"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.199,0.042,0,7.7
"Sleep Problems","1",0.051,0.041,0.216,7.7
"Undietary Behavior","1",0.412,0.041,0,7.7
"Smoking","1",3.835,0,0,7.7
"Alcohol","1",1.463,0.052,0,7.7
"Physical Inactivity","2",0.198,0.024,0,27.1
"Sleep Problems","2",1.075,0.011,0,27.1
"Undietary Behavior","2",0.047,0.024,0.049,27.1
"Smoking","2",-0.331,0,0,27.1
"Alcohol","2",0.161,0.022,0,27.1
"Physical Inactivity","3",0.157,0.015,0,56.5
"Sleep Problems","3",-0.726,0.008,0,56.5
"Undietary Behavior","3",-0.054,0.015,0,56.5
"Smoking","3",-0.331,0,0,56.5
"Alcohol","3",0.041,0.014,0.003,56.5
"Physical Inactivity","4",0.094,0.037,0.011,8.6
"Sleep Problems","4",0.08,0.039,0.038,8.6
"Undietary Behavior","4",0.251,0.036,0,8.6
"Smoking","4",1.63,0.026,0,8.6
"Alcohol","4",0.903,0.045,0,8.6
