"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.216,0.058,0,7.4
"Sleep Problems","1",0.47,0.063,0,7.4
"Unhealthy Diet","1",0.545,0.056,0,7.4
"Smoking","1",3.209,0,0,7.4
"Alcohol","1",1.438,0.052,0,7.4
"Physical Inactivity","2",0.16,0.076,0.035,3.2
"Sleep Problems","2",0.361,0.088,0,3.2
"Unhealthy Diet","2",0.163,0.071,0.021,3.2
"Smoking","2",0.792,0.009,0,3.2
"Alcohol","2",0.796,0.081,0,3.2
"Physical Inactivity","3",0.089,0.088,0.316,2.3
"Sleep Problems","3",0.358,0.108,0.001,2.3
"Unhealthy Diet","3",0.148,0.088,0.092,2.3
"Smoking","3",2.019,0.005,0,2.3
"Alcohol","3",1.047,0.091,0,2.3
"Physical Inactivity","4",-0.15,0.014,0,87.1
"Sleep Problems","4",-0.064,0.014,0,87.1
"Unhealthy Diet","4",-0.136,0.014,0,87.1
"Smoking","4",-0.377,0,0,87.1
"Alcohol","4",-0.133,0.013,0,87.1
