"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.184,0.015,0,96.4
"Sleep Problems","1",-0.065,0.014,0,96.4
"Unhealthy Diet","1",0.104,0.014,0,96.4
"Smoking","1",-0.166,0.004,0,96.4
"Alcohol","1",0.395,0.016,0,96.4
"Physical Inactivity","2",-0.207,0.076,0.007,3.6
"Sleep Problems","2",-0.009,0.076,0.906,3.6
"Unhealthy Diet","2",0.351,0.079,0,3.6
"Smoking","2",5.725,0.081,0,3.6
"Alcohol","2",0.839,0.099,0,3.6
