"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.306,0.089,0.001,3.9
"Sleep Problems","1",0.357,0.102,0,3.9
"Unhealthy Diet","1",0.449,0.086,0,3.9
"Smoking","1",4.796,0,0,3.9
"Alcohol","1",1.571,0.128,0,3.9
"Physical Inactivity","2",0.045,0.017,0.008,92.8
"Sleep Problems","2",-0.038,0.016,0.02,92.8
"Unhealthy Diet","2",-0.014,0.017,0.409,92.8
"Smoking","2",-0.25,0,0,92.8
"Alcohol","2",0.028,0.016,0.08,92.8
"Physical Inactivity","3",0.341,0.087,0,3.3
"Sleep Problems","3",0.29,0.098,0.003,3.3
"Unhealthy Diet","3",0.386,0.072,0,3.3
"Smoking","3",2.273,0.074,0,3.3
"Alcohol","3",0.954,0.126,0,3.3
