"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.142,0.02,0,50.1
"Sleep Problems","1",-0.704,0.01,0,50.1
"Undietary Behavior","1",-0.119,0.019,0,50.1
"Smoking","1",-0.33,0,0,50.1
"Alcohol","1",-0.216,0.016,0,50.1
"Physical Inactivity","2",0.1,0.051,0.05,7.8
"Sleep Problems","2",0.328,0.049,0,7.8
"Undietary Behavior","2",0.386,0.048,0,7.8
"Smoking","2",3.2,0.033,0,7.8
"Alcohol","2",1.267,0.057,0,7.8
"Physical Inactivity","3",-0.036,0.066,0.582,4.6
"Sleep Problems","3",0.361,0.061,0,4.6
"Undietary Behavior","3",0.333,0.061,0,4.6
"Smoking","3",1.056,0.001,0,4.6
"Alcohol","3",0.679,0.065,0,4.6
"Physical Inactivity","4",-0.037,0.024,0.122,37.5
"Sleep Problems","4",1.111,0.012,0,37.5
"Undietary Behavior","4",0.024,0.023,0.314,37.5
"Smoking","4",-0.331,0,0,37.5
"Alcohol","4",-0.128,0.019,0,37.5
