"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.115,0.01,0,97.3
"Sleep Problems","1",0.096,0.01,0,97.3
"Unhealthy Diet","1",-0.168,0.009,0,97.3
"Smoking","1",-0.198,0,0,97.3
"Alcohol","1",-0.165,0.007,0,97.3
"Physical Inactivity","2",0.402,0.103,0,1.1
"Sleep Problems","2",0.73,0.104,0,1.1
"Unhealthy Diet","2",0.371,0.109,0.001,1.1
"Smoking","2",2.025,0.007,0,1.1
"Alcohol","2",1.59,0.149,0,1.1
"Physical Inactivity","3",0.517,0.098,0,1.6
"Sleep Problems","3",0.853,0.085,0,1.6
"Unhealthy Diet","3",0.759,0.108,0,1.6
"Smoking","3",5.72,0.084,0,1.6
"Alcohol","3",3.005,0.169,0,1.6
