y.level,term,estimate,std.error,statistic,p.value,odds_ratio,conf.low,conf.high
1,(Intercept),-1.5985722281465107,0.12003778590640803,-13.317241867430791,1.837720728442375e-40,0.20218498604464258,0.15979775596463378,0.2558156610842492
1,age,-0.010848674400401654,0.038276062664228096,-0.28343235028038993,0.7768454327185697,0.9892099602401263,0.9177137490246334,1.066276217914663
1,sex,0.2565429683999676,0.07428988080903734,3.4532693498245486,5.53835700025973e-4,1.2924542992998505,1.1173220573320959,1.4950372677393335
1,fas,-0.03729132188752626,0.03712040116919197,-1.0046044954513085,0.3150873317568897,0.963395436287215,0.8957917560172248,1.0361010362336787
3,(Intercept),-3.815946091319757,0.2534000784183606,-15.058977547037985,3.014124990001013e-51,0.0220168746230389,0.013398530462459838,0.03617880106514461
3,age,1.925863984894067,0.12507203324820546,15.398038513311684,1.6870970853616934e-53,6.8610739701111765,5.369435595443036,8.767092031663154
3,sex,0.10462086334677033,0.13469857036688795,0.776703591298758,0.4373336675596467,1.1102895790714278,0.852665175302068,1.445752664822851
3,fas,0.14753012988774844,0.06820312050510768,2.1630994123897898,0.030533534298614152,1.1589682038855817,1.0139483973612267,1.3247294449238565
4,(Intercept),-2.4919037300685862,0.18432412100468837,-13.519140720628764,1.2057592966156367e-41,0.08275227852418438,0.05766072534049872,0.11876263367319194
4,age,0.953685387384818,0.06864746278675629,13.892507438291023,7.032946681175568e-44,2.5952565823243137,2.2685397902946924,2.969027370343249
4,sex,0.0249794836838071,0.11388495529785554,0.21933962759589778,0.8263854950202358,1.0252940850510048,0.8201770653339582,1.2817085544967537
4,fas,0.0812658833695835,0.057472853179740574,1.4139872804893228,0.1573656371421092,1.0846592510872548,0.9691063615604957,1.2139902673579996
