term,estimate,std_estimate,std.error,statistic,p.value
(Intercept),-0.38096083131750375,NA,0.03740531841547426,-10.184670187432586,3.377331229328388e-24
profile1,0.16434813608234786,0.018418096557037626,0.31781179778383345,0.5171240879928969,0.6050853278775608
profile3,-0.025677101057825776,-0.004580871923308903,0.20326994786323996,-0.1263202029013228,0.8994819704722665
profile4,0.29568081690080544,0.037459369579851354,0.27356368066369297,1.0808482185334474,0.2798006169289674
age,0.10538096519904076,0.10538434079775297,0.011812038502447237,8.921488460878939,5.746938185774349e-19
sex,0.23314330048911738,0.11674529482799695,0.023618796138052692,9.87109161391574,7.738574581150614e-23
fas,-0.04371294639343675,-0.04364139297723523,0.011482250769784525,-3.8070015426302226,1.4182245770860455e-4
profile1:sex,0.16744115454000555,0.02910269890282334,0.20481424188215203,0.8175269112210929,0.4136542639988311
profile3:sex,0.2111170993466084,0.059652815183755196,0.12843228959232184,1.643800791971786,0.10026075292127526
profile4:sex,0.38903635236738826,0.07266073853878355,0.1853322261925781,2.099129548916883,0.035840001676345545
