term,estimate,std_estimate,std.error,statistic,p.value
(Intercept),0.03370590117281611,NA,0.011899274927771602,2.832601261623953,0.004629571638722864
profile1,-0.4562635848756496,-0.05161603847236237,0.10187034986441974,-4.478865395896798,7.616716743749432e-6
profile3,-0.47557243768216634,-0.08540145381016,0.06418681772601134,-7.409191708369168,1.411342306865698e-13
profile4,-0.723971327288836,-0.09216386948699581,0.09053248473967329,-7.996812739323569,1.471065183399265e-15
