term,estimate,std_estimate,std.error,statistic,p.value
(Intercept),-0.5870992299446943,NA,0.036803450209584046,-15.952287804576725,2.406323282630302e-56
profile1,-0.3877580389297372,-0.043771234591983385,0.3093013300921364,-1.253657844970242,0.21000627560020044
profile3,-0.19093270211867597,-0.03411769566739646,0.1986481979441962,-0.9611600009193758,0.3365033469224268
profile4,-0.2346650346437688,-0.029475889994864425,0.2710047309989759,-0.8659075204286955,0.3865691457581941
age,0.10206108235914262,0.10195462778884593,0.01161247236677118,8.788919287436846,1.8569071652863386e-18
sex,0.3746529785370219,0.18732518159013573,0.02324135995195592,16.120097073127265,1.7693575481496642e-57
fas,0.024576631461380512,0.024474788510383004,0.011307048748865746,2.1735673036561276,0.029769467800455536
profile1:sex,0.4102618387164259,0.07163669569468115,0.19986267158367976,2.0527186766071766,0.04013520225758397
profile3:sex,0.3629776010798667,0.10234823995229922,0.1259701333065168,2.8814576245359014,0.003969866638330176
profile4:sex,0.6834846349379874,0.12656508315880638,0.1836179766949631,3.722318736108458,1.98876393729135e-4
