"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.125,0.01,0,93.8
"Sleep Problems","1",-0.06,0.01,0,93.8
"Unhealthy Diet","1",0.059,0.009,0,93.8
"Smoking","1",-0.198,0,0,93.8
"Alcohol","1",-0.08,0.008,0,93.8
"Physical Inactivity","2",0.549,0.06,0,2.9
"Sleep Problems","2",0.396,0.06,0,2.9
"Unhealthy Diet","2",0.689,0.061,0,2.9
"Smoking","2",2.03,0,0,2.9
"Alcohol","2",1.884,0.088,0,2.9
"Physical Inactivity","3",0.824,0.06,0,3.3
"Sleep Problems","3",0.546,0.06,0,3.3
"Unhealthy Diet","3",1.026,0.064,0,3.3
"Smoking","3",5.84,0.053,0,3.3
"Alcohol","3",3.286,0.096,0,3.3
