"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.018,0.012,0.134,90.5
"Sleep Problems","1",-0.015,0.012,0.211,90.5
"Unhealthy Diet","1",-0.035,0.012,0.002,90.5
"Smoking","1",-0.294,0.001,0,90.5
"Alcohol","1",-0.155,0.01,0,90.5
"Physical Inactivity","2",0.163,0.049,0.001,6
"Sleep Problems","2",0.202,0.052,0,6
"Unhealthy Diet","2",0.337,0.047,0,6
"Smoking","2",3.733,0.036,0,6
"Alcohol","2",1.589,0.046,0,6
"Physical Inactivity","3",0.177,0.062,0.005,3.5
"Sleep Problems","3",0.032,0.061,0.606,3.5
"Unhealthy Diet","3",0.333,0.062,0,3.5
"Smoking","3",1.327,0.012,0,3.5
"Alcohol","3",1.269,0.056,0,3.5
