"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.113,0.097,0.247,2
"Sleep Problems","1",0.32,0.1,0.001,2
"Unhealthy Diet","1",-0.026,0.103,0.797,2
"Smoking","1",0.474,0,0,2
"Alcohol","1",0.41,0.089,0,2
"Physical Inactivity","2",0.177,0.106,0.095,1.8
"Sleep Problems","2",0.321,0.109,0.003,1.8
"Unhealthy Diet","2",0.303,0.113,0.007,1.8
"Smoking","2",1.864,0.065,0,1.8
"Alcohol","2",0.987,0.165,0,1.8
"Physical Inactivity","3",0.072,0.014,0,94.4
"Sleep Problems","3",0.165,0.015,0,94.4
"Unhealthy Diet","3",-0.14,0.015,0,94.4
"Smoking","3",-0.285,0,0,94.4
"Alcohol","3",-0.429,0.009,0,94.4
"Physical Inactivity","4",0.316,0.121,0.009,1.7
"Sleep Problems","4",0.65,0.118,0,1.7
"Unhealthy Diet","4",0.392,0.106,0,1.7
"Smoking","4",4.088,0.035,0,1.7
"Alcohol","4",0.878,0.189,0,1.7
