"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.159,0.057,0.005,7.4
"Sleep Problems","1",0.007,0.054,0.902,7.4
"Unhealthy Diet","1",0.543,0.053,0,7.4
"Smoking","1",1.768,0.039,0,7.4
"Alcohol","1",1.536,0.051,0,7.4
"Physical Inactivity","2",0.016,0.017,0.342,87.2
"Sleep Problems","2",-0.131,0.015,0,87.2
"Unhealthy Diet","2",0.223,0.015,0,87.2
"Smoking","2",-0.289,0,0,87.2
"Alcohol","2",0.167,0.016,0,87.2
"Physical Inactivity","3",0.365,0.071,0,5.4
"Sleep Problems","3",0.106,0.065,0.103,5.4
"Unhealthy Diet","3",0.832,0.069,0,5.4
"Smoking","3",4.504,0,0,5.4
"Alcohol","3",1.908,0.052,0,5.4
