"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.102,0.085,0.231,2.9
"Sleep Problems","1",0.519,0.11,0,2.9
"Unhealthy Diet","1",0.286,0.075,0,2.9
"Smoking","1",2.171,0.075,0,2.9
"Alcohol","1",0.768,0.129,0,2.9
"Physical Inactivity","2",-0.152,0.015,0,94.2
"Sleep Problems","2",0.054,0.017,0.001,94.2
"Unhealthy Diet","2",-0.115,0.016,0,94.2
"Smoking","2",-0.25,0,0,94.2
"Alcohol","2",-0.057,0.015,0,94.2
"Physical Inactivity","3",0.166,0.098,0.09,2.9
"Sleep Problems","3",0.396,0.113,0,2.9
"Unhealthy Diet","3",0.157,0.101,0.118,2.9
"Smoking","3",4.789,0.007,0,2.9
"Alcohol","3",1.4,0.145,0,2.9
