"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.155,0.074,0.035,6.1
"Sleep Problems","1",0.118,0.07,0.095,6.1
"Unhealthy Diet","1",0.479,0.058,0,6.1
"Smoking","1",-0.293,0,0,6.1
"Alcohol","1",2.255,0.043,0,6.1
"Physical Inactivity","2",-0.023,0.018,0.205,80.1
"Sleep Problems","2",-0.113,0.017,0,80.1
"Unhealthy Diet","2",0.304,0.017,0,80.1
"Smoking","2",-0.293,0,0,80.1
"Alcohol","2",-0.274,0.011,0,80.1
"Physical Inactivity","3",0.268,0.063,0,7.4
"Sleep Problems","3",0.168,0.061,0.006,7.4
"Unhealthy Diet","3",0.563,0.054,0,7.4
"Smoking","3",4.137,0,0,7.4
"Alcohol","3",1.586,0.068,0,7.4
"Physical Inactivity","4",0.078,0.065,0.232,6.4
"Sleep Problems","4",0.136,0.062,0.028,6.4
"Unhealthy Diet","4",0.633,0.057,0,6.4
"Smoking","4",1.858,0.046,0,6.4
"Alcohol","4",1.221,0.066,0,6.4
