"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.04,0.018,0.024,95
"Sleep Problems","1",0.158,0.019,0,95
"Unhealthy Diet","1",-0.381,0.017,0,95
"Smoking","1",-0.305,0,0,95
"Alcohol","1",-0.709,0.008,0,95
"Physical Inactivity","2",0.551,0.131,0,2.2
"Sleep Problems","2",0.647,0.138,0,2.2
"Unhealthy Diet","2",0.272,0.144,0.06,2.2
"Smoking","2",3.557,0.076,0,2.2
"Alcohol","2",0.633,0.142,0,2.2
"Physical Inactivity","3",0.178,0.122,0.143,2.8
"Sleep Problems","3",0.655,0.12,0,2.8
"Unhealthy Diet","3",0.123,0.116,0.287,2.8
"Smoking","3",0.757,0.053,0,2.8
"Alcohol","3",0.229,0.101,0.023,2.8
