"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.137,0.015,0,87.5
"Sleep Problems","1",-0.124,0.014,0,87.5
"Unhealthy Diet","1",0.049,0.015,0.001,87.5
"Smoking","1",-0.288,0,0,87.5
"Alcohol","1",0.013,0.015,0.382,87.5
"Physical Inactivity","2",0.269,0.065,0,6.5
"Sleep Problems","2",0.307,0.066,0,6.5
"Unhealthy Diet","2",0.798,0.059,0,6.5
"Smoking","2",4.164,0,0,6.5
"Alcohol","2",1.942,0.082,0,6.5
"Physical Inactivity","3",0.172,0.064,0.007,5.9
"Sleep Problems","3",0.059,0.06,0.327,5.9
"Unhealthy Diet","3",0.417,0.057,0,5.9
"Smoking","3",1.882,0.044,0,5.9
"Alcohol","3",1.453,0.077,0,5.9
