"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.187,0.056,0.001,6.2
"Sleep Problems","1",0.131,0.058,0.023,6.2
"Unhealthy Diet","1",0.369,0.051,0,6.2
"Smoking","1",1.51,0.035,0,6.2
"Alcohol","1",1.094,0.054,0,6.2
"Physical Inactivity","2",0.178,0.04,0,14.3
"Sleep Problems","2",1.701,0.027,0,14.3
"Unhealthy Diet","2",0.13,0.04,0.001,14.3
"Smoking","2",-0.342,0,0,14.3
"Alcohol","2",0.142,0.037,0,14.3
"Physical Inactivity","3",0.04,0.016,0.012,73.3
"Sleep Problems","3",-0.491,0.007,0,73.3
"Unhealthy Diet","3",0.05,0.015,0.001,73.3
"Smoking","3",-0.342,0,0,73.3
"Alcohol","3",-0.014,0.013,0.286,73.3
"Physical Inactivity","4",0.169,0.058,0.004,6.3
"Sleep Problems","4",0.056,0.055,0.311,6.3
"Unhealthy Diet","4",0.506,0.052,0,6.3
"Smoking","4",3.689,0,0,6.3
"Alcohol","4",1.592,0.065,0,6.3
