"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.179,0.085,0.035,3.1
"Sleep Problems","1",0.421,0.077,0,3.1
"Unhealthy Diet","1",0.921,0.077,0,3.1
"Smoking","1",5.227,0,0,3.1
"Alcohol","1",2.276,0.091,0,3.1
"Physical Inactivity","2",-0.092,0.013,0,91.4
"Sleep Problems","2",-0.146,0.012,0,91.4
"Unhealthy Diet","2",-0.076,0.012,0,91.4
"Smoking","2",-0.25,0,0,91.4
"Alcohol","2",-0.132,0.01,0,91.4
"Physical Inactivity","3",0.074,0.057,0.191,5.4
"Sleep Problems","3",0.204,0.054,0,5.4
"Unhealthy Diet","3",0.484,0.054,0,5.4
"Smoking","3",2.382,0.048,0,5.4
"Alcohol","3",1.602,0.065,0,5.4
