"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.383,0.092,0,1.3
"Sleep Problems","1",0.21,0.103,0.041,1.3
"Undietary Behavior","1",0.273,0.106,0.01,1.3
"Smoking","1",2.372,0.039,0,1.3
"Alcohol","1",0.654,0.103,0,1.3
"Physical Inactivity","2",-0.094,0.012,0,93.6
"Sleep Problems","2",0.025,0.012,0.043,93.6
"Undietary Behavior","2",-0.145,0.012,0,93.6
"Smoking","2",-0.302,0,0,93.6
"Alcohol","2",-0.43,0.005,0,93.6
"Physical Inactivity","3",0.064,0.064,0.312,3.4
"Sleep Problems","3",0.303,0.067,0,3.4
"Undietary Behavior","3",0.359,0.064,0,3.4
"Smoking","3",0.671,0.021,0,3.4
"Alcohol","3",0.25,0.054,0,3.4
"Physical Inactivity","4",0.275,0.097,0.005,1.7
"Sleep Problems","4",0.424,0.111,0,1.7
"Undietary Behavior","4",0.44,0.093,0,1.7
"Smoking","4",4.098,0.03,0,1.7
"Alcohol","4",1.013,0.115,0,1.7
