"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.314,0.111,0.005,2.6
"Sleep Problems","1",0.498,0.109,0,2.6
"Unhealthy Diet","1",0.296,0.11,0.007,2.6
"Smoking","1",1.853,0.072,0,2.6
"Alcohol","1",1.375,0.111,0,2.6
"Physical Inactivity","2",0.365,0.103,0,3.5
"Sleep Problems","2",0.462,0.098,0,3.5
"Unhealthy Diet","2",0.568,0.088,0,3.5
"Smoking","2",4.164,0,0,3.5
"Alcohol","2",1.312,0.142,0,3.5
"Physical Inactivity","3",0.045,0.016,0.005,93.9
"Sleep Problems","3",0.037,0.016,0.023,93.9
"Unhealthy Diet","3",-0.224,0.015,0,93.9
"Smoking","3",-0.288,0,0,93.9
"Alcohol","3",-0.246,0.011,0,93.9
