"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.414,0.044,0,8.6
"Sleep Problems","1",0.342,0.05,0,8.6
"Unhealthy Diet","1",0.526,0.043,0,8.6
"Smoking","1",3.209,0,0,8.6
"Alcohol","1",1.474,0.038,0,8.6
"Physical Inactivity","2",-0.023,0.015,0.122,69.3
"Sleep Problems","2",-0.374,0.008,0,69.3
"Unhealthy Diet","2",-0.044,0.015,0.004,69.3
"Smoking","2",-0.377,0,0,69.3
"Alcohol","2",-0.052,0.014,0,69.3
"Physical Inactivity","3",0.117,0.041,0.005,11.7
"Sleep Problems","3",1.901,0.027,0,11.7
"Unhealthy Diet","3",0.153,0.043,0,11.7
"Smoking","3",-0.377,0,0,11.7
"Alcohol","3",0.125,0.04,0.002,11.7
"Physical Inactivity","4",0.138,0.039,0,10.5
"Sleep Problems","4",0.236,0.043,0,10.5
"Unhealthy Diet","4",0.351,0.037,0,10.5
"Smoking","4",1.256,0.022,0,10.5
"Alcohol","4",0.972,0.039,0,10.5
