"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.05,0.075,0.505,2.1
"Sleep Problems","1",0.421,0.076,0,2.1
"Unhealthy Diet","1",0.341,0.08,0,2.1
"Smoking","1",1.678,0.043,0,2.1
"Alcohol","1",0.653,0.092,0,2.1
"Physical Inactivity","2",0.028,0.011,0.008,96
"Sleep Problems","2",0.087,0.011,0,96
"Unhealthy Diet","2",-0.053,0.011,0,96
"Smoking","2",-0.311,0.001,0,96
"Alcohol","2",-0.441,0.007,0,96
"Physical Inactivity","3",0.235,0.091,0.01,1.9
"Sleep Problems","3",0.625,0.077,0,1.9
"Unhealthy Diet","3",0.429,0.09,0,1.9
"Smoking","3",3.673,0.023,0,1.9
"Alcohol","3",1.291,0.127,0,1.9
