"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.026,0.011,0.016,93.3
"Sleep Problems","1",0.075,0.011,0,93.3
"Undietary Behavior","1",-0.062,0.011,0,93.3
"Smoking","1",-0.331,0,0,93.3
"Alcohol","1",-0.461,0.007,0,93.3
"Physical Inactivity","2",0.117,0.1,0.245,1.2
"Sleep Problems","2",0.453,0.103,0,1.2
"Undietary Behavior","2",0.336,0.111,0.003,1.2
"Smoking","2",2.144,0.033,0,1.2
"Alcohol","2",0.729,0.133,0,1.2
"Physical Inactivity","3",0.068,0.055,0.22,3.6
"Sleep Problems","3",0.449,0.055,0,3.6
"Undietary Behavior","3",0.274,0.056,0,3.6
"Smoking","3",0.537,0.017,0,3.6
"Alcohol","3",0.338,0.058,0,3.6
"Physical Inactivity","4",0.235,0.091,0.01,1.9
"Sleep Problems","4",0.625,0.077,0,1.9
"Undietary Behavior","4",0.428,0.09,0,1.9
"Smoking","4",3.673,0.023,0,1.9
"Alcohol","4",1.291,0.127,0,1.9
